POLICY_ID,POLICY_IS_RENEWED,POLICY_IS_RENEWED_PROBABILITY
10,1,0.8510440335014537
12,1,0.7617802560348819
13,1,0.5991743723625503
22,0,0.4224479911542996
37,1,0.8249792973884843
38,0,0.4102728577056574
41,0,0.2328348139577965
44,1,0.662202430147887
45,0,0.3678428894768878
54,1,0.8040479174558838
62,1,0.526143812944788
70,1,0.6362328953428497
71,0,0.271563606246443
73,0,0.47017812620057925
80,1,0.5809103520024389
85,1,0.8815955165851823
87,1,0.8075686217083228
94,1,0.678804385162716
103,0,0.2531021463661447
108,1,0.6834815667989295
115,0,0.3965658672236279
116,0,0.48253240411159387
118,1,0.6936530684415727
125,1,0.6933709211788927
132,1,0.8983328271169858
133,0,0.4289345028881572
134,1,0.839601367823369
138,1,0.8014438882026234
139,1,0.7027454415016177
147,0,0.3041873647525512
150,0,0.4675859415137947
151,1,0.603454304339632
153,1,0.7253011622088587
155,1,0.6271370978728977
159,1,0.8162309284121367
160,0,0.2715958187894995
161,0,0.4663277249712036
163,1,0.7104502047709838
164,1,0.7166791432692926
166,1,0.7428020069437458
168,1,0.835320588798294
169,1,0.6861366048215193
172,1,0.6260667089175134
182,1,0.5331100370028017
188,1,0.8298428506988323
189,0,0.4869776435364779
190,1,0.5919711647094195
193,1,0.5075956368127694
194,1,0.6444859400084437
196,0,0.19428643494997297
215,0,0.04322550026460606
218,1,0.7296067864898429
228,1,0.8288515349517792
230,1,0.521259618302009
236,1,0.7393490598548117
244,0,0.4132635725767907
253,1,0.8301147287826804
263,1,0.8565246485177809
265,1,0.5806059426072291
268,1,0.7733591573367755
273,1,0.535884735137775
284,0,0.35885588688885156
286,0,0.34985180725216075
305,1,0.8885028498243374
307,0,0.2212792873279517
309,1,0.8875375050371086
310,1,0.5607650299102596
313,1,0.503426877846411
318,1,0.7333443247897392
323,1,0.5953155651956533
327,1,0.814623125067549
329,1,0.8033470440264057
341,1,0.7172637924055237
344,1,0.7023077215867096
345,1,0.8691330117115088
354,0,0.17725856919601146
355,0,0.47297244154741364
357,1,0.8895198927233614
360,1,0.6973747269350874
365,1,0.8078429352621931
367,1,0.807886678709711
369,1,0.5717806471172998
370,1,0.8705870171174531
383,1,0.843502934787612
384,1,0.5450855640167703
388,1,0.643627325499042
389,1,0.5933218454672035
394,1,0.6134889834658417
395,1,0.8102002470835326
416,1,0.8939539996359623
